run,archetype,cluster_kmeans,local_self_sufficiency,import_intensity,transport_intensity,storage_large_share,SS_pipe,LL_pipe,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster,cluster_final
parallel_run_2830,Archetype_4,2,0.1331558626718387,0.5518515613026733,0.0745399035459069,0.8333333333333334,1,0,1,3,0.0,8.239417824778362,19.86594006810631,2.185631748368638,84.78697422249212,1014.516711027553,0.5729610607824123,94.5537552962944,103.539963389083,112.696063975848,0.8568714170808833,1051.2,133.6,459.7,2
parallel_run_2831,Archetype_4,3,0.0,0.0510305618231084,0.062867705966622,0.83333333333342,0,0,0,2,0.0,10.74739923464404,14.72531853706425,2.344142683785495,39.79251941170135,1382.725160889254,0.1302190494638491,44.96744153575168,45.57905328193963,117.6699208576838,0.5147064197244176,1051.2,133.6,459.7,3
parallel_run_2833,Archetype_4,6,0.6239552396457161,0.2888474809032565,0.1589756218271265,0.8333333333333334,0,1,0,3,0.3333333333333333,12.62912539162891,17.1844658696355,2.641849634690004,42.22256724024653,904.387351538265,0.3237095872395198,68.36904203871276,108.7516199458351,169.4200698119767,0.6476733781840518,1051.2,133.6,459.7,6
parallel_run_2834,Archetype_4,3,0.5002591969192183,0.0349427026940287,0.2600791847992399,0.8333333333332981,0,0,1,2,0.0,6.522201326382715,12.39939167303931,3.618708160073463,47.13963660315678,739.0878598442532,0.2748268178242084,80.41869864667342,47.40439371988354,195.7889275941752,0.5500432829432993,1051.2,133.6,459.7,0
parallel_run_2835,Archetype_4,1,1.0,0.041137917318984,0.2495624030820047,0.8333333333333334,0,1,0,3,0.3333333333333333,9.384437367855847,18.12707624626986,2.907152582017375,82.60031647176109,883.1361687269793,0.196669248894807,66.74094420558276,73.27740104246614,210.9777341720553,1.294178414837762,1051.2,133.6,459.7,1
parallel_run_2836,Archetype_4,2,0.4035645432247982,0.5378177874419126,0.033858462526218,0.8471174751908346,1,0,1,3,0.0,14.37657933613404,18.84410004062273,2.669185145620158,35.03786974557758,1927.503758948734,0.53662187709572,185.9380919407641,28.71237259798763,240.7907661092698,1.211179443278551,1051.2,133.6,459.7,2
parallel_run_2837,Archetype_4,9,0.0003702441136331,0.0154336415900307,0.4811205810775124,0.8333333333333334,1,0,1,3,0.6666666666666666,12.88294506062676,16.47370199557806,3.916427027915539,33.29873756204726,1553.403975838957,0.1037951584613293,35.14190572583635,68.48407504836385,165.2840596040335,1.272212627733274,1051.2,133.6,459.7,9
parallel_run_2838,Archetype_4,5,0.1871199933623019,0.4362703349291394,0.0396301969289289,0.8531737386991894,0,0,0,2,0.0,13.71417304507693,19.94297232922278,3.190463394584546,39.35568050526847,1306.802190395147,0.4398896859558368,173.4756545582791,57.55417542909995,217.6461551705664,0.6040099969531483,1051.2,133.6,459.7,5
parallel_run_2839,Archetype_4,2,0.7718662232418247,0.2427854301530621,0.304258124065394,0.139621912424894,1,0,1,3,0.0,10.0542437922061,9.52808842232428,2.7551726834745,63.83059444783521,602.6095239046633,0.5655852937121579,52.9250694322663,12.91258574592992,212.3338287792068,0.8863857524748795,1051.2,133.6,459.7,2
parallel_run_2840,Archetype_4,3,0.3281065248791036,0.0923450784572089,0.0386672437013123,0.7869084302745122,0,0,0,2,0.0,8.902950966584617,17.34337950080082,3.071726683251704,72.97629984854609,1254.634228844618,0.0922887709307529,134.989883752535,20.33996544789689,133.8281740992772,0.6978638514594209,1051.2,133.6,459.7,3
