run,archetype,cluster_kmeans,local_self_sufficiency,centralization,storage_large_share,import_intensity,SS_pipe,LL_pipe,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster,cluster_final
parallel_run_2411,Archetype_4,1,0.1621046573218402,0.9840787162707948,0.8341527939110086,0.3427370151337405,0,0,0,2,0.0,9.589786864094185,14.52009542132607,2.25760526337914,95.46321746956043,1743.776803747743,0.3420270254820715,154.4883468009115,38.07535167163682,155.3553685224774,0.5347162870897352,726.0,120.2,303.2,1
parallel_run_2413,Archetype_4,0,0.0115856884412717,0.9992275882153469,0.8333333333333334,0.1208149957108697,0,1,0,3,0.3333333333333333,11.5724650899624,15.71417657225041,2.505463074151018,37.82135289309134,1732.171085268251,0.2966680057335894,87.89904124731528,124.3179479506931,188.0589961374106,0.6121933944560484,726.0,120.2,303.2,0
parallel_run_2414,Archetype_4,3,0.5467783539922707,0.9675033698439164,0.025916328219348,0.0621769960582115,1,0,1,3,0.0,7.401877309695345,16.72060108361629,4.239354502223774,78.9004950381646,763.9731909619118,0.0862171753274194,168.5882939237162,10.48455250370037,274.1962939177321,0.9381802418748396,726.0,120.2,303.2,3
parallel_run_2415,Archetype_4,1,0.0,1.0,0.6594748056867993,0.0001311503969334,0,0,0,2,0.0,6.226512320545174,10.57007202633626,4.816232216133942,78.55254926123328,1473.572870709382,0.3084672339978864,39.11190515019379,26.58517665913403,167.9697151744124,0.8989728030906465,726.0,120.2,303.2,1
parallel_run_2416,Archetype_4,3,0.1944764457039559,0.9819374666042532,0.8333333333333334,0.2235825906848253,1,0,1,3,0.0,8.028178927033153,12.69358091967134,3.112625106465832,36.62334427994244,1295.694779439287,0.2513937760739758,117.9684651723182,90.13045861303728,158.0544197808208,0.9195426682975842,726.0,120.2,303.2,3
parallel_run_2417,Archetype_4,3,0.2251575937296146,0.9717986399651414,0.758971760123323,0.0232582417453237,1,0,1,3,0.0,5.772023405404161,7.116169331792253,2.064522668331408,56.51085137099933,1786.195480402135,0.0232508350807578,161.0329775531958,25.14851249315225,197.822121004284,0.7197444930411876,726.0,120.2,303.2,3
parallel_run_2418,Archetype_4,0,0.2178491593638927,0.9876963959901006,0.8333333333333334,0.041565708276394,0,1,0,3,0.3333333333333333,9.480794663304136,17.03804542014852,4.639878986106728,99.35855694037711,1250.245306083507,0.4168895798584492,43.35096290748591,149.1588574610129,277.1890738836713,1.083347637799514,726.0,120.2,303.2,0
parallel_run_2419,Archetype_4,3,1.0,0.8997478847860131,0.8333333333333334,0.2816713193005052,1,1,1,3,0.3333333333333333,12.59017345046845,19.02253176729523,3.9523185428614,96.0626212890334,921.343979285896,0.3159410008343269,143.9201303011419,83.56764829664709,247.3963377767511,1.184696545793093,726.0,120.2,303.2,3
parallel_run_2420,Archetype_4,2,0.7249295536225292,0.9454737172783892,0.0,0.3228348386349411,0,1,0,3,0.3333333333333333,13.88681027006693,18.61075821619153,4.347085125891433,43.42201779666991,778.7163195623369,0.5440908291581393,33.79114171279144,30.41474642500482,289.3256653337539,0.7671046222699125,726.0,120.2,303.2,2
parallel_run_2421,Archetype_4,3,0.1906475254847829,0.9438581424008234,0.0,0.5641722214256394,1,0,1,3,0.0,10.32199462340584,6.699275404416465,2.08038382636346,44.79361792876074,979.8557987975116,0.595749285135953,177.31500644115,11.06955829270862,290.4698168059626,1.067301995703033,726.0,120.2,303.2,3
parallel_run_2422,Archetype_4,0,0.0960875953034927,0.990222192694094,0.8333333333333334,0.3205634636665023,0,1,0,3,0.3333333333333333,10.44667181037197,13.25070225132207,4.259523874160369,88.11039822390016,1086.489408610497,0.3604504262054547,93.26680170863348,86.31118950437782,141.2036987315458,0.8099763525700954,726.0,120.2,303.2,0
parallel_run_2423,Archetype_4,3,0.0,1.0,0.8333333333333428,0.3355944042058255,1,0,1,3,0.0,7.193260089885094,11.65964368980142,4.36245347424116,67.47086947928852,860.866485459772,0.3929505433301446,47.88817474253383,105.9284432028051,105.7696635231778,0.7077017593878874,726.0,120.2,303.2,3
parallel_run_2424,Archetype_4,3,2.336450267912149e-05,0.999998638894894,0.65411792264456,0.0,1,0,1,3,0.6666666666666666,10.87938801553206,16.037856129965,2.961086101395173,69.6604654795751,1130.70880630468,0.3289402099742169,45.2910359937304,14.91317533979289,294.1194921299998,1.165324106539424,726.0,120.2,303.2,3
parallel_run_2425,Archetype_4,0,0.2992588918376275,0.9803222114681216,0.9090909090909092,0.2561052797860145,0,1,0,3,0.3333333333333333,11.04944243362644,19.24071518137925,3.605624564480587,53.85239415205597,1355.675352940887,0.2611936824169285,192.5155188876426,93.4514385332439,163.183152602084,0.9537850554699546,726.0,120.2,303.2,0
parallel_run_2426,Archetype_4,3,0.4199082792502358,0.94932968743727,0.8333333333333334,0.5183963600242042,1,0,1,3,0.0,9.08917883368848,15.93141516714483,2.552097542916801,87.05159164902761,516.4075892774002,0.5259683590341234,164.5121833558311,80.95119800030251,191.2553856341034,1.094491785369062,726.0,120.2,303.2,3
parallel_run_2427,Archetype_4,0,0.0011533521488119,0.9998737870791804,0.0,0.1934627018804085,0,1,0,3,0.3333333333333333,6.022122980882333,10.18624643812967,4.118622604217991,44.05635878211464,657.7419002366751,0.4846669501207773,27.38228323221475,120.2686065600439,118.8863494549756,1.050243965660369,726.0,120.2,303.2,0
parallel_run_2428,Archetype_4,0,0.1347965818884754,0.9932506645255432,0.8333333333333334,0.0239213214820882,0,1,0,3,0.3333333333333333,12.81217303836103,18.79926099501478,3.671884488568053,46.3834911494316,1976.5423669876,0.4556973803877963,98.27765434529884,77.3225987347966,261.8146648055326,0.8637011623017257,726.0,120.2,303.2,0
parallel_run_2429,Archetype_4,2,1.0,0.9242418884618084,0.0,0.0268782378920119,0,1,0,3,0.3333333333333333,11.30329623906534,14.11358006738063,2.119776423336449,80.39616228749757,927.2926047619708,0.0269989646361896,110.5634989792129,18.96908617913164,123.0786965714163,1.005760777712649,726.0,120.2,303.2,2
