run,archetype,_local_prod_ratio_raw,local_self_sufficiency,import_intensity,transport_intensity,storage_large_share,_any_storage,SS_pipe,LL_pipe,degree_small1,degree_small2,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster
parallel_run_1515,Archetype_3,0.0,0.0,1.6658946792257464e-05,0.0890899866978204,0.7858828881449251,1,0,0,1,1,0,2,0.0,6.226512320545174,10.57007202633626,4.816232216133942,78.55254926123328,1473.572870709382,0.3084672339978864,39.11190515019379,26.58517665913403,167.9697151744124,0.8989728030906465,734.6,503.0,445.15
parallel_run_1516,Archetype_3,0.2605991863029061,0.2605991863029061,0.21544579919404766,0.09553943802081905,0.8333333333333186,1,0,1,1,1,0,3,0.0,8.028178927033153,12.69358091967134,3.112625106465832,36.62334427994244,1295.694779439287,0.2513937760739758,117.9684651723182,90.13045861303728,158.0544197808208,0.9195426682975842,734.6,503.0,445.15
parallel_run_1517,Archetype_3,0.23876753880815868,0.23876753880815868,0.023149629941052862,0.09757620211511028,0.7951146367593898,1,0,0,1,1,0,2,0.0,5.772023405404161,7.116169331792253,2.064522668331408,56.51085137099933,1786.195480402135,0.02325083508075789,161.0329775531958,25.14851249315225,197.822121004284,0.7197444930411876,734.6,503.0,445.15
parallel_run_1518,Archetype_3,0.21608926079176136,0.21608926079176136,0.05276173503387769,0.34555470937809507,0.9090909090909091,1,0,1,1,1,0,3,0.3333333333333333,9.480794663304135,17.03804542014852,4.639878986106728,99.35855694037713,1250.245306083507,0.4168895798584492,43.35096290748591,149.1588574610129,277.1890738836713,1.083347637799514,734.6,503.0,445.15
parallel_run_1519,Archetype_3,1.4640677940164233,1.0,0.2715360466951361,0.20717260595333128,0.8333333333333334,1,0,1,1,1,0,3,0.3333333333333333,12.59017345046845,19.02253176729523,3.9523185428614,96.0626212890334,921.343979285896,0.3159410008343269,143.9201303011419,83.56764829664709,247.3963377767511,1.184696545793093,734.6,503.0,445.15
parallel_run_1520,Archetype_3,0.7188822239417519,0.7188822239417519,0.3264458869451907,0.14332689703787288,0.0,1,0,1,1,1,0,3,0.3333333333333333,13.88681027006693,18.61075821619153,4.347085125891433,43.42201779666991,778.7163195623369,0.5440908291581393,33.79114171279144,30.41474642500482,289.3256653337539,0.7671046222699125,734.6,503.0,445.15
parallel_run_1521,Archetype_3,0.19704677690208308,0.19704677690208308,0.5636165618060596,0.10921402123181624,0.13306590598301998,1,0,0,1,1,0,2,0.0,10.32199462340584,6.699275404416465,2.08038382636346,44.79361792876074,979.8557987975115,0.595749285135953,177.31500644115,11.06955829270862,290.4698168059626,1.067301995703033,734.6,503.0,445.15
parallel_run_1522,Archetype_3,0.13539343657750436,0.13539343657750436,0.32205193833526785,0.2083179331942433,0.8333333333333334,1,0,1,1,1,0,3,0.3333333333333333,10.44667181037197,13.25070225132207,4.259523874160369,88.11039822390016,1086.489408610497,0.3604504262054547,93.26680170863347,86.31118950437782,141.2036987315458,0.8099763525700954,734.6,503.0,445.15
parallel_run_1523,Archetype_3,5.941433716678693e-05,5.941433716678693e-05,0.3301408125103577,0.07830668533560357,0.8333333333333334,1,0,0,1,1,0,2,0.0,7.193260089885094,11.65964368980142,4.36245347424116,67.47086947928852,860.866485459772,0.3929505433301446,47.88817474253383,105.9284432028051,105.7696635231778,0.7077017593878874,734.6,503.0,445.15
parallel_run_1524,Archetype_3,0.0006997071564233523,0.0006997071564233523,9.228508945075333e-17,0.205048645699214,0.0,1,0,1,1,1,0,3,0.3333333333333333,10.87938801553206,16.037856129965,2.961086101395173,69.6604654795751,1130.70880630468,0.3289402099742169,45.2910359937304,14.91317533979289,294.1194921299998,1.165324106539424,734.6,503.0,445.15
parallel_run_1525,Archetype_3,0.3132960347699618,0.3132960347699618,0.25497798878129246,0.1701274029219487,0.9090909090909091,1,0,1,1,1,0,3,0.3333333333333333,11.04944243362644,19.24071518137925,3.605624564480587,53.85239415205597,1355.675352940887,0.2611936824169285,192.5155188876426,93.4514385332439,163.183152602084,0.9537850554699546,734.6,503.0,445.15
parallel_run_1526,Archetype_3,0.38981872526292505,0.38981872526292505,0.5185878333939027,0.11249451986843395,0.8333333333333334,1,0,1,1,1,0,3,0.0,9.08917883368848,15.93141516714483,2.552097542916801,87.05159164902761,516.4075892774002,0.5259683590341234,164.5121833558311,80.95119800030251,191.2553856341034,1.094491785369062,734.6,503.0,445.15
