ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;5.62;92.3;2.69
0.0;0.0;0.0;5.31;88.9;2.28
0.0;0.0;0.0;5.1;92.25;1.93
0.0;0.0;0.0;5.07;95.75;1.03
0.0;0.0;0.0;4.83;95.75;0.69
0.0;0.0;0.0;4.2;99.4;0.9
0.0;0.0;0.0;3.77;99.4;1.38
0.0;0.0;0.0;3.23;99.4;1.31
0.0;0.0;0.0;2.51;95.7;1.1
0.0;0.0;0.0;1.83;95.65;1.03
0.0;0.0;0.0;1.39;95.65;1.1
0.0;0.0;0.0;1.17;99.35;1.1
0.0;0.0;0.0;0.97;95.65;1.03
0.0;0.0;0.0;0.72;95.65;1.03
0.0;0.0;0.0;0.57;95.65;0.9
0.0;0.0;0.0;0.81;95.65;0.97
39.0;27.55;36.0;0.8;95.65;1.1
97.0;31.28;90.0;1.11;95.65;1.86
145.0;42.67;132.0;1.59;88.6;2.07
127.0;5.78;125.0;2.48;85.35;2.0
104.0;0.0;104.0;3.11;82.2;1.93
93.0;0.0;93.0;3.44;79.15;1.86
70.0;4.57;69.0;3.49;82.25;1.79
42.0;48.86;37.0;3.31;79.15;1.72
0.0;0.0;0.0;2.9;85.4;1.45
0.0;0.0;0.0;2.52;88.65;1.24
0.0;0.0;0.0;2.19;92.1;1.17
0.0;0.0;0.0;1.33;92.05;1.24
0.0;0.0;0.0;0.38;95.65;1.1
0.0;0.0;0.0;-0.08;99.4;1.17
0.0;0.0;0.0;-0.34;99.4;1.17
0.0;0.0;0.0;-0.57;99.4;1.17
0.0;0.0;0.0;-0.44;99.4;1.03
0.0;0.0;0.0;-0.51;99.4;1.03
0.0;0.0;0.0;-0.87;100.0;1.1
0.0;0.0;0.0;-1.25;99.4;1.31
0.0;0.0;0.0;-0.91;100.0;1.45
0.0;0.0;0.0;-0.4;100.0;1.66
0.0;0.0;0.0;-0.35;100.0;1.59
0.0;0.0;0.0;-0.14;99.4;1.59
57.0;126.95;43.0;0.13;99.4;1.79
198.0;634.17;55.0;0.83;92.05;1.79
119.0;13.04;115.0;2.49;85.35;1.93
104.0;0.0;104.0;3.95;76.25;2.14
161.0;34.54;149.0;4.54;73.45;2.69
82.0;0.0;82.0;3.81;82.3;3.59
57.0;0.0;57.0;2.85;88.7;3.66
14.0;0.0;14.0;2.58;92.15;3.72
0.0;0.0;0.0;2.52;92.15;3.45
0.0;0.0;0.0;2.58;92.15;3.1
0.0;0.0;0.0;2.62;92.15;2.9
0.0;0.0;0.0;2.94;88.7;2.76
