topology;archetype;small_cluster;d_nearest_large;d_other_large;centrality;d_small_small;d_large_large;rho_comp
0020;B;Small_cluster2;300.60124173760414;1044.2036091421178;0.28787608001524523;586.7488283663988;1067.6616452634335;0.9759587568147404
0021;C;Small_cluster1;210.60192945685245;210.60192945685245;1.0;733.9244910515845;421.1240137927234;1.7424448411854387
0021;C;Small_cluster2;759.5916302195562;759.5916302195562;1.0;733.9244910515845;421.1240137927234;1.7424448411854387
0022;C;Small_cluster1;408.149290609842;408.149290609842;1.0;826.6667099669576;508.9145077392459;1.0127013925857642
0022;C;Small_cluster2;567.7609661931937;567.7609661931937;1.0;826.6667099669576;508.9145077392459;1.0127013925857642
0023;C;Small_cluster1;374.96570414900884;374.96570414900884;1.0;254.86773187294602;740.9643905237317;0.3398547241158665
0023;C;Small_cluster2;419.62844961284793;419.62844961284793;1.0;254.86773187294602;740.9643905237317;0.3398547241158665
0024;C;Small_cluster1;262.3680913516969;262.3680913516969;1.0;680.8121223933995;524.3172978051007;1.2974369689658458
0024;C;Small_cluster2;719.7711689701548;719.7711689701548;1.0;680.8121223933995;524.3172978051007;1.2974369689658458
0025;C;Small_cluster1;448.7722365965647;448.7722365965647;1.0;432.3373435996473;852.4617373943329;0.48168904885743635
0025;C;Small_cluster2;516.6004614124495;516.6004614124495;1.0;432.3373435996473;852.4617373943329;0.48168904885743635
0026;C;Small_cluster1;414.65331567517455;414.65331567517455;1.0;633.8676777668297;641.1239648237824;0.7643345100650061
0026;C;Small_cluster2;490.1948508799899;490.1948508799899;1.0;633.8676777668297;641.1239648237824;0.7643345100650061
0027;C;Small_cluster1;283.85383062851736;283.85383062851736;1.0;282.2705269791186;545.0924365781248;0.4972110581599463
0027;C;Small_cluster2;339.8096961449354;339.8096961449354;1.0;282.2705269791186;545.0924365781248;0.4972110581599463
0028;C;Small_cluster1;357.03501877760266;357.03501877760266;1.0;504.5984382741153;559.5911227166653;0.7066511850878555
0028;C;Small_cluster2;397.83058288121845;397.83058288121845;1.0;504.5984382741153;559.5911227166653;0.7066511850878555
0029;C;Small_cluster1;244.75358043248787;244.75358043248787;1.0;106.2802960164845;484.99947022646666;0.21711693824597708
0029;C;Small_cluster2;253.2898933774693;253.2898933774693;1.0;106.2802960164845;484.99947022646666;0.21711693824597708
0030;C;Small_cluster1;259.0741291127619;259.0741291127619;1.0;132.80997928231955;516.706039942801;0.25631656031643757
0030;C;Small_cluster2;282.18271811981845;282.18271811981845;1.0;132.80997928231955;516.706039942801;0.25631656031643757
0031;D;Small_cluster1;113.58880326151848;573.6850608450826;0.19799853789846533;471.24936347827315;671.0080847144127;2.0743653861433127
0031;D;Small_cluster2;113.58880326151848;573.6850608450826;0.19799853789846533;471.24936347827315;671.0080847144127;2.0743653861433127
0032;D;Small_cluster1;237.0673704892397;878.7890974268043;0.26976594405119525;651.2969988398254;1099.451311584562;1.3736538214764298
0032;D;Small_cluster2;237.0673704892397;878.7890974268043;0.26976594405119525;651.2969988398254;1099.451311584562;1.3736538214764298
0033;D;Small_cluster1;311.5761820226908;893.9622618159085;0.3485339318348686;583.1325459294021;1203.9952378720045;0.93577843810753
0033;D;Small_cluster2;311.5761820226908;893.9622618159085;0.3485339318348686;583.1325459294021;1203.9952378720045;0.93577843810753
0034;D;Small_cluster1;430.5326361209154;594.3324835433644;0.7243969462246335;177.19556214287877;947.3868769593537;0.20578644599327572
0034;D;Small_cluster2;430.5326361209154;594.3324835433644;0.7243969462246335;177.19556214287877;947.3868769593537;0.20578644599327572
0035;D;Small_cluster1;217.87713728845117;838.9567001984209;0.25970009803476296;867.7423790097237;756.4202391542494;1.9913571240402914
0035;D;Small_cluster2;217.87713728845117;838.9567001984209;0.25970009803476296;867.7423790097237;756.4202391542494;1.9913571240402914
0036;D;Small_cluster1;341.9017042964697;509.71041741234257;0.6707763714781604;244.32401852682233;584.9115247838199;0.35730155108405687
0036;D;Small_cluster2;341.9017042964697;509.71041741234257;0.6707763714781604;244.32401852682233;584.9115247838199;0.35730155108405687
0037;D;Small_cluster1;144.23857666552067;487.6391023457427;0.29578960335968624;374.1028668358922;580.0199527293444;1.2968197395049557
0037;D;Small_cluster2;144.23857666552067;487.6391023457427;0.29578960335968624;374.1028668358922;580.0199527293444;1.2968197395049557
0038;D;Small_cluster1;408.30081328749657;732.0047021196783;0.5577844132765446;369.14561400189996;999.9342150986195;0.45205103931788365
0038;D;Small_cluster2;408.30081328749657;732.0047021196783;0.5577844132765446;369.14561400189996;999.9342150986195;0.45205103931788365
0039;D;Small_cluster1;484.50341932475567;797.3061157378891;0.6076755336014933;975.3263643011451;411.0967298038304;1.0065216522727962
0039;D;Small_cluster2;484.50341932475567;797.3061157378891;0.6076755336014933;975.3263643011451;411.0967298038304;1.0065216522727962
0040;D;Small_cluster1;282.1069184690714;1038.8376808219791;0.2715601519631581;762.199183460325;1311.4674422889948;1.350904805165011
0040;D;Small_cluster2;282.1069184690714;1038.8376808219791;0.2715601519631581;762.199183460325;1311.4674422889948;1.350904805165011
